ID,NOME,2016-03-01,2016-06-01,2016-09-01,2016-12-31,2017-03-01,2017-06-01,2017-09-01,2017-12-31,2018-03-01,2018-06-01,2018-09-01,2018-12-31,2019-03-01,2019-06-01,2019-09-01,2019-12-31,2020-03-01,2020-06-01,2020-09-01,2020-12-31,2021-03-01
0,Santo António,2140,2254,2344,2481,2920,3294,3425,3827,4083,4105,4532,4568,4742,5131,4889,4932,5340,5550,5540,5544,5544
1,Parque das Nações,2860,2884,2939,2996,3048,3124,3203,3257,3351,3496,3143,3247,3311,3302,4049,4132,4162,4217,4076,3972,3972
2,Marvila,1637,1597,1640,1718,1692,1651,1550,1483,1483,1543,1927,2666,2786,2855,2845,2804,2881,2863,2765,2742,2742
3,Ajuda,1535,1553,1557,1607,1847,1888,1987,2064,2259,2564,2646,2929,3085,3125,3295,3205,3137,3200,3027,3000,3000
4,Areeiro,1803,1934,1958,2071,2193,2202,2333,2408,2550,2701,2729,2905,3019,3125,3289,3167,3312,3321,3380,3368,3368
5,Santa Maria Maior,2593,2837,2991,3022,3079,3195,3255,3333,3528,3632,3825,4297,4451,4509,4451,4483,4807,5111,5372,5914,5914
6,Alvalade,1979,2061,2130,2283,2394,2467,2576,2651,2957,3087,3173,3260,3304,3350,3429,3547,3623,3634,3623,3590,3590
7,Belém,1928,2000,2083,2147,2288,2514,2500,2572,2736,2877,3207,3426,3426,3571,3543,3542,3542,3522,3577,3806,3806
8,Estrela,2114,2141,2308,2396,2476,2589,2750,2894,3051,3472,3540,3507,3520,3487,3575,3846,4005,4200,4223,4223,4223
9,Arroios,1763,1833,1898,1955,1997,2115,2266,2460,2587,2793,2919,3000,3194,3264,3279,3274,3277,3380,3538,3650,3650
10,Santa Clara,1518,1464,1518,1480,1512,1549,1642,1695,1739,1780,1909,1969,2058,2023,2090,2354,2393,2261,2102,2102,2102
11,Avenidas Novas,2151,2245,2268,2317,2413,2433,2533,2835,3070,3338,3565,3595,3741,3778,3821,3892,3841,3745,3645,3645,3645
12,Carnide,2050,2089,2069,2156,2192,2235,2291,2463,2572,2745,2842,2986,3049,3104,3078,2884,3027,3076,3165,3411,3411
13,São Domingos de Benfica,1996,2033,2129,2168,2210,2307,2353,2475,2614,2737,2838,2947,3055,3128,3286,3333,3412,3385,3333,3341,3341
14,Beato,1244,1286,1324,1454,1513,1542,1562,1571,1700,1913,2037,2317,2238,2380,2382,2385,2534,2461,2296,2518,2518
15,Campolide,1860,1831,1868,1850,1864,1922,1965,2155,2469,2633,2710,2905,3136,3133,3019,3032,3036,2956,3096,3333,3333
16,Alcântara,1512,1588,1708,1764,1856,1950,2047,2155,2271,2413,2549,2763,2951,2973,3010,3127,3125,3164,3128,2965,2965
17,Campo de Ourique,1957,2076,2165,2234,2273,2417,2557,2725,2965,3095,3274,3477,3583,3640,3906,3846,3859,3859,3687,3699,3699
18,São Vicente,1701,1759,1864,2051,2141,2300,2404,2667,2738,2885,2960,3250,3407,3467,3470,3402,3402,3375,3300,3470,3470
19,Olivais,1323,1306,1324,1387,1444,1500,1570,1679,1750,1860,2043,2153,2263,2353,2400,2430,2463,2500,2481,2527,2527
20,Misericórdia,2311,2347,2483,2703,3008,3244,3440,3520,3667,3894,3998,4126,4288,4718,4574,4813,5112,4839,4963,4754,4754
21,Lumiar,1993,1983,2011,2006,2057,2107,2119,2265,2352,2469,2629,2711,2591,2574,2596,2674,2927,3040,2744,2740,2740
22,Penha de França,1364,1400,1438,1544,1656,1793,1884,1995,2130,2285,2353,2543,2708,2811,2889,2936,2973,3012,2967,2987,2987
23,Benfica,1530,1570,1607,1646,1706,1792,1859,1932,2094,2205,2333,2459,2539,2619,2676,2717,2727,2722,2753,2701,2701
